date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:24	822140/822140	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Sep%202022%2011:29:16%20GMT	https://www.ebd114nxt.co.in/images/Home-page-1.jpg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/Home-page-1.jpg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:25	1551/1551	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:44:48%20GMT	https://www.ebd114nxt.co.in/images/30min.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/30min.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:25	2079/2079	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:44:48%20GMT	https://www.ebd114nxt.co.in/images/20min.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/20min.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:25	1318/1318	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:44:48%20GMT	https://www.ebd114nxt.co.in/images/15min.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/15min.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:25	970355/970355	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Apr%202023%2011:44:44%20GMT	https://www.ebd114nxt.co.in/images/Master-Plan-new.jpg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/Master-Plan-new.jpg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:25	810120/810120	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Apr%202023%2011:44:14%20GMT	https://www.ebd114nxt.co.in/images/Location-Map-new.jpg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/Location-Map-new.jpg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:26	165449/165449	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Apr%202023%2009:53:14%20GMT	https://www.ebd114nxt.co.in/images/video/vd-poster.jpg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/video/vd-poster.jpg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:26	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2011:41:57%20GMT	https://www.ebd114nxt.co.in/images/video/ebd-nxt.webm	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/video/ebd-nxt.webm	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:26	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2011:41:57%20GMT	https://www.ebd114nxt.co.in/images/video/ebd-nxt.ogv	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/video/ebd-nxt.ogv	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:26	1492/1492	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:37:52%20GMT	https://www.ebd114nxt.co.in/images/aminity/icon1.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/aminity/icon1.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
